token,display_token,position,importance_score
▁in,▁in,70,0.006395772447856137
▁constant,▁constant,34,0.006350138488545355
▁for,▁for,29,0.006340028544369831
▁result,▁result,65,0.006329881629661055
▁the,▁the,64,0.0063240515583733335
▁is,▁is,54,0.006316889006908589
▁the,▁the,39,0.006295131423434766
▁similar,▁similar,31,0.006293657409521331
▁a,▁a,42,0.006276730237603918
ity,ity,98,0.0062764408623521796
▁to,▁to,63,0.006254965171513584
▁laws,▁laws,3,0.006245919308351048
▁modification,▁modification,44,0.006239241240310956
▁proper,▁proper,43,0.006222831269913246
he,he,85,0.006204382971438362
▁this,▁this,60,0.006188434640891351
▁gradient,▁gradient,27,0.006186602048685088
▁called,▁called,94,0.006169553660647558
esses,esses,69,0.006147002140021126
./,./,100,0.006121778872679885
▁with,▁with,24,0.006084691958959753
▁be,▁be,37,0.006081991664755628
▁made,▁made,38,0.006070207128738038
▁of,▁of,103,0.0060604271299912645
▁to,▁to,107,0.006049329398046278
▁he,▁he,21,0.0060202769859977676
▁series,▁series,90,0.006007413046510961
similar,similar,97,0.006007384535533654
ated,ated,22,0.005997377882226335
▁leads,▁leads,62,0.005997258897669832
▁.,▁.,59,0.00599289631354044
oth,oth,55,0.0059860200432447054
▁temperature,▁temperature,26,0.005964209610885005
ating,ating,115,0.005963557007025688
▁a,▁a,20,0.0059464246359104975
▁for,▁for,19,0.005931453645505986
▁plate,▁plate,23,0.005927807745826938
▁The,▁The,101,0.005916349578060121
▁analog,▁analog,105,0.005915140715797788
.,.,148,0.0058850023064203495
▁the,▁the,16,0.005880893687141937
▁thick,▁thick,47,0.00586445767074572
ated,ated,127,0.005856572291848198
▁equations,▁equations,18,0.0058559563295153515
▁wing,▁wing,129,0.005839477722786973
▁fact,▁fact,61,0.005835422807915955
ity,ity,2,0.005831729399558607
▁analog,▁analog,128,0.005816532725016179
▁large,▁large,25,0.0058139263690794255
▁and,▁and,135,0.0058121028648965315
▁un,▁un,125,0.005809661580812497
▁he,▁he,114,0.005804123315906032
▁that,▁that,15,0.005802183373158548
▁is,▁is,130,0.005799530757228452
▁/,▁/,96,0.005784641101123528
",",",",133,0.00577318869637254
▁str,▁str,68,0.005726885212179207
▁stra,▁stra,80,0.00562237125143334
▁of,▁of,140,0.005605932058833182
▁shown,▁shown,14,0.005574693068018125
▁is,▁is,116,0.005570232570302524
▁differential,▁differential,17,0.005556824512969118
▁and,▁and,142,0.005505867394379586
▁be,▁be,13,0.005496702065763804
ynamic,ynamic,113,0.00542418230960687
▁the,▁the,124,0.005420612178615065
▁involves,▁involves,136,0.0054200876688702895
.,.,120,0.0053321033385444905
▁the,▁the,137,0.005330410627892474
▁will,▁will,12,0.005321817075434144
▁it,▁it,11,0.005313797964887126
▁application,▁application,102,0.0053103471781096034
▁The,▁The,121,0.005289496027600646
▁complicated,▁complicated,134,0.005263024104534693
▁wings,▁wings,109,0.00525339964309934
▁detail,▁detail,119,0.005245144273458064
▁concept,▁concept,139,0.005205194816173746
▁force,▁force,145,0.005196316171077624
▁novel,▁novel,138,0.005195970583930791
",",",",131,0.005195256756316095
▁on,▁on,123,0.005191627463704878
▁under,▁under,110,0.005104414649790968
▁in,▁in,118,0.005085894235872679
▁however,▁however,132,0.005060798735166609
▁discussed,▁discussed,117,0.0049517154923121995
▁loading,▁loading,122,0.004914927473737477
▁structure,▁structure,160,0.0048973130627265
▁/,▁/,143,0.0048886798910858405
▁solid,▁solid,108,0.004818687211810241
▁The,▁The,149,0.004808215097501557
he,he,126,0.004779822734420753
▁feedback,▁feedback,141,0.004775885523307357
od,od,112,0.0047051006183288354
wing,wing,159,0.004675235615659662
▁Similar,▁Similar,1,0.0046280395142500935
body,body,144,0.004564469003011704
▁aer,▁aer,111,0.00452969036082332
▁of,▁of,151,0.004430792343989512
▁a,▁a,154,0.004347574262657199
ated,ated,156,0.00432572669730461
▁box,▁box,157,0.0041714277027439526
ing,ing,153,0.004165108218332395
▁can,▁can,161,0.00415402762252079
▁problem,▁problem,150,0.004107566479495945
▁method,▁method,168,0.0040599171505335385
▁he,▁he,155,0.004009270230472393
▁and,▁and,169,0.00391409749964255
▁solved,▁solved,163,0.003878114176938488
▁by,▁by,164,0.0038718215947676957
▁stress,▁stress,152,0.0037292176446863026
▁be,▁be,162,0.0036927780872769303
-,-,158,0.0036787792320576137
▁same,▁same,166,0.003552837957677321
▁the,▁the,165,0.0035483691687481795
▁analog,▁analog,167,0.0034881042463370637
▁is,▁is,170,0.0034697419900435573
▁discussed,▁discussed,172,0.0033606585277543882
.,.,173,0.0032134486765057185
▁briefly,▁briefly,171,0.003057728666283937
